Numero,Zona,Cliente,Producto,Cantidad,Precio
294,Online,AeroGlide Systems,Piña,43,8
295,Norte,CrystalPoint Ltd,Mango,608,4
296,Sur,Skyline Dynamics,Cereza,554,2
297,Centro,EcoWave Industries,Cereza,686,2
298,Sur,UrbanSphere Co,Kiwi,324,3
299,Sur,ClearStream Solutions,Naranja,277,8
300,Sur,CrystalPoint Ltd,Uva,982,7
301,Centro,GreenField Enterprises,Cereza,690,2
302,Centro,Solaris Innovations,Cereza,964,2
303,Online,CrystalPoint Ltd,Naranja,442,8
304,Sur,AeroGlide Systems,Fresa,812,2
305,Online,GreenField Enterprises,Cereza,525,2
306,Online,UrbanSphere Co,Naranja,477,8
307,Norte,NovaLink Group,Kiwi,597,3
308,Online,Vertex Labs,Uva,691,7
309,Sur,AeroGlide Systems,Cereza,25,2
310,Centro,Luminex Corp,Pera,499,10
311,Online,ClearStream Solutions,Kiwi,494,3
312,Centro,Infinity Networks,Kiwi,741,3
313,Norte,Pioneer Robotics,Naranja,310,8
314,Norte,AstraCore Tech,Naranja,715,8
315,Sur,Skyline Dynamics,Fresa,344,2
316,Sur,BluePeak Technologies,Fresa,271,2
317,Norte,EcoWave Industries,Mango,115,4
318,Online,Vertex Labs,Piña,612,8
319,Online,Infinity Networks,Banana,559,9
320,Online,NexaGlobal,Fresa,994,2
321,Centro,AstraCore Tech,Kiwi,82,3
322,Sur,TechNova Solutions,Banana,917,9
323,Online,Vertex Labs,Pera,525,10
324,Centro,AstraCore Tech,Uva,79,7
325,Norte,TechNova Solutions,Kiwi,239,3
326,Norte,AstraCore Tech,Mango,252,4
327,Norte,Solaris Innovations,Mango,793,4
328,Centro,Luminex Corp,Banana,61,9
329,Centro,SummitWorks Inc,Uva,218,7
330,Centro,CrystalPoint Ltd,Kiwi,60,3
331,Norte,Skyline Dynamics,Fresa,234,2
332,Sur,GreenField Enterprises,Pera,706,10
333,Sur,NovaLink Group,Cereza,255,2
334,Sur,Luminex Corp,Banana,390,9
335,Sur,Pioneer Robotics,Banana,783,9
336,Sur,NexaGlobal,Piña,692,8
337,Centro,Solaris Innovations,Cereza,528,2
338,Centro,TechNova Solutions,Pera,366,10
339,Sur,EcoWave Industries,Naranja,410,8
340,Norte,CrystalPoint Ltd,Banana,21,9
341,Online,Infinity Networks,Manzana,319,2
342,Centro,GreenField Enterprises,Manzana,415,2
343,Sur,QuantumEdge LLC,Naranja,242,8
344,Norte,Luminex Corp,Piña,116,8
345,Norte,ClearStream Solutions,Cereza,650,2
346,Centro,Skyline Dynamics,Kiwi,174,3
347,Sur,Pioneer Robotics,Piña,354,8
348,Sur,CrystalPoint Ltd,Mango,135,4
349,Norte,UrbanSphere Co,Manzana,143,2
350,Sur,Vertex Labs,Mango,765,4
351,Online,BluePeak Technologies,Cereza,638,2
352,Sur,Pioneer Robotics,Fresa,701,2
353,Centro,CrystalPoint Ltd,Fresa,264,2
354,Norte,Infinity Networks,Manzana,599,2
355,Norte,TechNova Solutions,Fresa,564,2
356,Sur,GreenField Enterprises,Kiwi,341,3
357,Norte,AeroGlide Systems,Manzana,127,2
358,Centro,Vertex Labs,Manzana,762,2
359,Online,Solaris Innovations,Naranja,55,8
360,Centro,Pioneer Robotics,Fresa,360,2
361,Centro,CrystalPoint Ltd,Mango,116,4
362,Sur,ClearStream Solutions,Naranja,533,8
363,Online,CrystalPoint Ltd,Kiwi,466,3
364,Norte,NovaLink Group,Piña,394,8
365,Norte,NovaLink Group,Naranja,749,8
366,Norte,Orion Ventures,Naranja,908,8
367,Norte,SummitWorks Inc,Mango,764,4
368,Online,Skyline Dynamics,Cereza,470,2
369,Online,SummitWorks Inc,Pera,334,10
370,Online,NexaGlobal,Piña,188,8
371,Online,Infinity Networks,Manzana,723,2
372,Norte,QuantumEdge LLC,Fresa,700,2
373,Sur,EcoWave Industries,Piña,101,8
374,Norte,CrystalPoint Ltd,Pera,253,10
375,Centro,Skyline Dynamics,Banana,347,9
376,Online,Vertex Labs,Mango,470,4
377,Online,Orion Ventures,Mango,773,4
378,Online,NovaLink Group,Fresa,587,2
379,Norte,Solaris Innovations,Kiwi,912,3
380,Sur,Vertex Labs,Uva,257,7
381,Norte,Luminex Corp,Cereza,847,2
382,Sur,BluePeak Technologies,Banana,26,9
383,Centro,Luminex Corp,Uva,424,7
384,Online,Orion Ventures,Kiwi,358,3
385,Centro,NovaLink Group,Uva,999,7
386,Centro,NovaLink Group,Pera,792,10
387,Online,Skyline Dynamics,Naranja,867,8
388,Sur,EcoWave Industries,Kiwi,647,3
389,Online,Skyline Dynamics,Fresa,208,2
390,Online,Solaris Innovations,Banana,455,9
391,Online,ClearStream Solutions,Uva,512,7
392,Centro,Vertex Labs,Naranja,983,8
393,Centro,UrbanSphere Co,Piña,374,8
394,Sur,TechNova Solutions,Naranja,882,8
395,Norte,Solaris Innovations,Uva,400,7
396,Centro,TechNova Solutions,Mango,52,4
397,Centro,NovaLink Group,Banana,23,9
398,Norte,Solaris Innovations,Mango,798,4
399,Online,GreenField Enterprises,Banana,674,9
400,Online,TechNova Solutions,Pera,709,10
401,Norte,QuantumEdge LLC,Kiwi,28,3
402,Centro,Luminex Corp,Manzana,303,2
403,Centro,NexaGlobal,Uva,140,7
404,Norte,Infinity Networks,Kiwi,766,3
405,Norte,AstraCore Tech,Cereza,817,2
406,Centro,SummitWorks Inc,Pera,60,10
407,Norte,AstraCore Tech,Pera,851,10
408,Norte,QuantumEdge LLC,Manzana,851,2
409,Centro,Solaris Innovations,Pera,586,10
410,Centro,Skyline Dynamics,Manzana,710,2
411,Online,AeroGlide Systems,Piña,905,8
412,Norte,NexaGlobal,Fresa,808,2
413,Norte,EcoWave Industries,Naranja,244,8
414,Sur,Vertex Labs,Piña,278,8
415,Norte,NexaGlobal,Piña,622,8
416,Online,BluePeak Technologies,Manzana,423,2
417,Norte,Skyline Dynamics,Pera,384,10
418,Sur,EcoWave Industries,Manzana,205,2
419,Norte,QuantumEdge LLC,Mango,462,4
420,Centro,AstraCore Tech,Uva,327,7
421,Norte,Vertex Labs,Cereza,35,2
422,Online,Infinity Networks,Pera,607,10
423,Centro,GreenField Enterprises,Banana,279,9
424,Norte,BluePeak Technologies,Uva,902,7
425,Online,AstraCore Tech,Kiwi,428,3
426,Online,EcoWave Industries,Cereza,683,2
427,Sur,AstraCore Tech,Banana,696,9
428,Sur,BluePeak Technologies,Banana,115,9
429,Centro,Luminex Corp,Kiwi,775,3
430,Norte,Solaris Innovations,Manzana,912,2
431,Online,BluePeak Technologies,Pera,778,10
432,Norte,Vertex Labs,Kiwi,505,3
433,Norte,AeroGlide Systems,Naranja,828,8
434,Centro,Infinity Networks,Naranja,412,8
435,Norte,Infinity Networks,Mango,204,4
436,Online,TechNova Solutions,Uva,502,7
437,Online,EcoWave Industries,Piña,414,8
438,Centro,TechNova Solutions,Cereza,738,2
439,Centro,AstraCore Tech,Manzana,425,2
440,Centro,CrystalPoint Ltd,Cereza,143,2
441,Online,SummitWorks Inc,Pera,709,10
442,Norte,TechNova Solutions,Uva,456,7
443,Sur,QuantumEdge LLC,Manzana,779,2
444,Online,Infinity Networks,Piña,223,8
445,Sur,SummitWorks Inc,Piña,257,8
446,Sur,Orion Ventures,Cereza,699,2
447,Sur,Skyline Dynamics,Uva,466,7
448,Centro,ClearStream Solutions,Pera,902,10
449,Online,Vertex Labs,Cereza,603,2
450,Sur,Orion Ventures,Manzana,951,2
451,Centro,EcoWave Industries,Pera,904,10
452,Online,QuantumEdge LLC,Cereza,43,2
453,Online,UrbanSphere Co,Uva,421,7
454,Centro,NovaLink Group,Mango,224,4
455,Centro,QuantumEdge LLC,Banana,425,9
456,Online,Orion Ventures,Fresa,283,2
457,Sur,Vertex Labs,Uva,385,7
458,Online,UrbanSphere Co,Naranja,567,8
459,Norte,AstraCore Tech,Piña,561,8
460,Norte,ClearStream Solutions,Piña,36,8
461,Centro,SummitWorks Inc,Naranja,477,8
462,Norte,CrystalPoint Ltd,Uva,191,7
463,Sur,QuantumEdge LLC,Piña,969,8
464,Sur,CrystalPoint Ltd,Mango,598,4
465,Sur,UrbanSphere Co,Pera,979,10
466,Norte,Orion Ventures,Fresa,679,2
467,Norte,CrystalPoint Ltd,Pera,181,10
468,Norte,GreenField Enterprises,Piña,862,8
469,Online,NovaLink Group,Fresa,472,2
470,Online,AstraCore Tech,Pera,315,10
471,Sur,Vertex Labs,Fresa,271,2
472,Norte,Skyline Dynamics,Pera,992,10
473,Online,AeroGlide Systems,Piña,479,8
474,Norte,Orion Ventures,Uva,76,7
475,Norte,Infinity Networks,Banana,924,9
476,Centro,AstraCore Tech,Cereza,990,2
477,Online,UrbanSphere Co,Kiwi,258,3
478,Sur,GreenField Enterprises,Cereza,677,2
479,Sur,SummitWorks Inc,Naranja,19,8
480,Sur,Skyline Dynamics,Pera,107,10
481,Sur,Infinity Networks,Naranja,709,8
482,Centro,Vertex Labs,Uva,510,7
483,Norte,NovaLink Group,Banana,927,9
484,Centro,Skyline Dynamics,Banana,527,9
485,Online,ClearStream Solutions,Cereza,957,2
486,Sur,Luminex Corp,Mango,336,4
487,Online,SummitWorks Inc,Pera,374,10
488,Norte,Vertex Labs,Naranja,833,8
489,Sur,EcoWave Industries,Mango,327,4
490,Norte,BluePeak Technologies,Uva,577,7
491,Centro,SummitWorks Inc,Mango,862,4
492,Sur,Skyline Dynamics,Banana,427,9
493,Norte,Vertex Labs,Pera,220,10
494,Online,Skyline Dynamics,Fresa,33,2
495,Online,NovaLink Group,Pera,276,10
496,Sur,TechNova Solutions,Uva,166,7
497,Online,Solaris Innovations,Naranja,30,8
498,Centro,Solaris Innovations,Fresa,545,2
499,Centro,Orion Ventures,Piña,936,8
500,Sur,EcoWave Industries,Naranja,897,8
501,Centro,QuantumEdge LLC,Pera,195,10
502,Online,Vertex Labs,Uva,735,7
503,Norte,GreenField Enterprises,Banana,323,9
504,Sur,NexaGlobal,Kiwi,93,3
505,Sur,ClearStream Solutions,Naranja,960,8
506,Sur,Infinity Networks,Fresa,998,2
507,Centro,TechNova Solutions,Fresa,396,2
508,Sur,NovaLink Group,Piña,292,8
509,Norte,ClearStream Solutions,Piña,985,8
510,Online,GreenField Enterprises,Kiwi,108,3
511,Sur,Luminex Corp,Manzana,219,2
512,Sur,BluePeak Technologies,Manzana,901,2
513,Sur,Infinity Networks,Mango,501,4
514,Sur,AstraCore Tech,Banana,676,9
515,Online,Skyline Dynamics,Kiwi,374,3
516,Centro,Pioneer Robotics,Piña,232,8
517,Online,Vertex Labs,Cereza,268,2
518,Norte,AstraCore Tech,Pera,839,10
519,Norte,EcoWave Industries,Manzana,482,2
520,Norte,EcoWave Industries,Banana,797,9
521,Online,GreenField Enterprises,Cereza,973,2
522,Centro,EcoWave Industries,Pera,915,10
523,Centro,GreenField Enterprises,Fresa,246,2
524,Norte,AeroGlide Systems,Cereza,410,2
525,Norte,Infinity Networks,Cereza,957,2
526,Norte,QuantumEdge LLC,Piña,72,8
527,Online,TechNova Solutions,Kiwi,598,3
528,Centro,SummitWorks Inc,Cereza,636,2
529,Sur,AstraCore Tech,Manzana,396,2
530,Centro,Infinity Networks,Manzana,581,2
531,Sur,BluePeak Technologies,Mango,169,4
532,Centro,Infinity Networks,Piña,213,8
533,Online,QuantumEdge LLC,Uva,708,7
534,Online,NovaLink Group,Manzana,16,2
535,Norte,EcoWave Industries,Piña,158,8
536,Norte,GreenField Enterprises,Fresa,522,2
537,Online,TechNova Solutions,Cereza,779,2
538,Norte,SummitWorks Inc,Kiwi,136,3
539,Norte,ClearStream Solutions,Kiwi,914,3
540,Centro,Vertex Labs,Manzana,156,2
541,Centro,Infinity Networks,Uva,701,7
542,Online,NovaLink Group,Cereza,679,2
543,Norte,QuantumEdge LLC,Fresa,266,2
544,Norte,ClearStream Solutions,Cereza,876,2
545,Norte,QuantumEdge LLC,Fresa,470,2
546,Centro,QuantumEdge LLC,Pera,320,10
547,Online,Infinity Networks,Kiwi,489,3
548,Online,QuantumEdge LLC,Naranja,551,8
549,Norte,NovaLink Group,Pera,514,10
550,Norte,EcoWave Industries,Pera,752,10
551,Sur,SummitWorks Inc,Manzana,429,2
552,Centro,Orion Ventures,Kiwi,845,3
553,Online,TechNova Solutions,Kiwi,987,3
554,Online,ClearStream Solutions,Banana,845,9
555,Online,Skyline Dynamics,Naranja,702,8
556,Norte,CrystalPoint Ltd,Pera,584,10
557,Centro,NovaLink Group,Cereza,724,2
558,Norte,CrystalPoint Ltd,Uva,660,7
559,Norte,BluePeak Technologies,Kiwi,152,3
560,Sur,Pioneer Robotics,Naranja,43,8
561,Centro,AeroGlide Systems,Fresa,99,2
562,Centro,BluePeak Technologies,Pera,719,10
563,Norte,BluePeak Technologies,Piña,369,8
564,Centro,Orion Ventures,Uva,950,7
565,Centro,Orion Ventures,Cereza,232,2
566,Norte,CrystalPoint Ltd,Fresa,804,2
567,Norte,BluePeak Technologies,Fresa,872,2
568,Centro,NovaLink Group,Banana,751,9
569,Online,AeroGlide Systems,Naranja,511,8
570,Norte,EcoWave Industries,Piña,750,8
571,Online,Infinity Networks,Fresa,393,2
572,Online,Skyline Dynamics,Fresa,330,2
573,Norte,SummitWorks Inc,Mango,790,4
574,Online,Skyline Dynamics,Piña,708,8
575,Online,CrystalPoint Ltd,Mango,940,4
576,Online,AeroGlide Systems,Naranja,58,8
577,Norte,Skyline Dynamics,Fresa,972,2
578,Centro,Luminex Corp,Mango,408,4
579,Online,TechNova Solutions,Pera,58,10
580,Sur,Pioneer Robotics,Cereza,528,2
581,Norte,Luminex Corp,Naranja,583,8
582,Centro,Luminex Corp,Piña,955,8
583,Online,AstraCore Tech,Mango,159,4
584,Online,EcoWave Industries,Pera,788,10
585,Sur,Skyline Dynamics,Cereza,162,2
586,Norte,Infinity Networks,Fresa,32,2
587,Online,Infinity Networks,Piña,344,8
588,Norte,AeroGlide Systems,Banana,971,9
